username,comments,upvotes,downvotes,score.of.comments,score.per.comment,proposals
bee,191,995,42,377,1.97,0
jy-p,58,145,42,234,4.03,3
richard-red,74,205,9,228,3.08,5
ryanzim,64,144,62,194,3.03,0
jz_bz,39,170,2,168,4.31,1
s_ben,46,136,0,126,2.74,0
nnnko56,22,14,12,113,5.14,0
degeri,41,84,12,106,2.59,2
oregonisaac,30,40,3,99,3.3,2
dz_,27,92,18,90,3.33,0
_checkmate_,28,11,0,86,3.07,1
betterfuture,41,58,8,83,2.02,2
davecgh,14,5,0,79,5.64,1
nottrunner,20,39,6,72,3.6,0
praxis,13,68,11,72,5.54,0
sambiohazard,29,53,5,61,2.1,0
fiach.dubh,15,47,0,54,3.6,0
i2trading,17,0,0,53,3.12,1
dustorf,16,21,5,46,2.88,2
blainr,19,0,0,42,2.21,1
lizbagot,13,0,0,42,3.23,1
karamble,15,13,1,40,2.67,1
chappjc,11,40,0,37,3.36,1
guang,8,2,0,37,4.62,0
david,7,65,3,36,5.14,0
matheusd,7,12,1,34,4.86,0
linnutee,10,14,3,34,3.4,0
gravityz3r0,8,5,3,32,4,0
politicon,39,74,10,30,0.77,0
rickshaw,32,44,0,29,0.91,0
solar,9,20,6,28,3.11,0
haon,9,8,0,27,3,0
someone,18,0,0,26,1.44,1
jer979,29,0,0,26,0.9,1
dennilovejoy,20,2,0,24,1.2,1
tomcurranlevett,30,6,2,23,0.77,1
grapefruittrading,9,0,0,22,2.44,1
ftl_ian,11,0,0,22,2,1
ski,7,12,2,21,3,0
maxbronstein,4,0,0,20,5,0
permabullnino,11,9,0,20,1.82,1
muststopmurad,2,0,0,19,9.5,0
tantralabs,14,5,0,19,1.36,1
fort3hlulz,10,12,0,18,1.8,0
lukebp,4,37,6,18,4.5,0
pubpete,13,26,1,18,1.38,0
decreddragon,11,12,2,18,1.64,0
moo31337,8,1,0,17,2.12,1
ay-p,2,22,22,16,8,0
jholdstock,4,4,0,15,3.75,0
decrenator,17,26,5,14,0.82,0
audi,4,10,1,14,3.5,0
somebody_online,10,64,3,13,1.3,0
a_f,10,36,13,13,1.3,0
vadymprykhodko,4,0,0,13,3.25,1
kozel,12,13,0,12,1,0
medge2,7,10,6,12,1.71,0
cagochi,3,49,0,11,3.67,0
victorone,5,22,0,11,2.2,0
jzzh,4,0,0,11,2.75,0
xiaozhu1717,19,0,0,11,0.58,0
luis,4,3,1,9,2.25,0
dcredits77,3,1,0,9,3,0
raedah,2,4,0,9,4.5,0
dcrsov,2,0,0,9,4.5,0
lolekbolek,2,0,0,9,4.5,0
bogdan_rud,4,0,0,9,2.25,1
exitus,4,3,0,8,2,0
jyashouafar,2,5,2,8,4,0
purplesuede22,2,13,0,8,4,0
dpr,5,16,0,8,1.6,0
nestor,3,5,0,7,2.33,0
lewildbeast,11,4,0,7,0.64,0
geostone,3,0,0,7,2.33,0
mark_ftl,7,35,11,7,1,0
narutosasuke,8,1,0,7,0.88,0
amnash002,1,1,0,6,6,0
zubairzia0,2,20,3,6,3,0
dnldd,2,8,0,6,3,0
bfriel,2,12,0,6,3,0
changhugo,4,15,6,6,1.5,0
vladstan,3,3,1,6,2,0
john,2,14,3,6,3,0
dre-tech,2,7,0,6,3,0
xorzro,3,18,0,6,2,0
snr01,2,0,0,6,3,0
shaun,2,1,0,6,3,0
amtowghng,6,16,0,6,1,0
vjv,1,4,1,6,6,0
georgepro,19,6,0,6,0.32,1
odin,4,13,2,5,1.25,0
buck54321,2,3,0,5,2.5,1
searvo,5,1,0,5,1,0
jerseypotato,3,29,4,5,1.67,0
teknico,2,80,72,5,2.5,0
dezryth,2,0,0,5,2.5,0
neil_nie,2,6,0,5,2.5,0
johnnyk,6,14,4,5,0.83,0
thedecreddigest,1,3,0,5,5,0
parallelind,7,8,0,5,0.71,0
acean,11,0,0,5,0.45,1
nickb,1,1,0,5,5,0
anshawblack,2,7,1,5,2.5,0
michae2xl,4,15,0,4,1,0
tiagoad,1,3,1,4,4,0
applesaucesome,1,61,8,4,4,0
sonvister,3,23,12,4,1.33,0
commodore_scoobysnack,2,6,0,4,2,0
ikarus477,1,1,0,4,4,0
qcmrhyde,2,1,0,4,2,0
yellop,1,5,0,4,4,0
gozart,1,0,0,3,3,0
cryptoeconomy,3,0,0,3,1,1
cryptoagents,8,7,9,3,0.38,1
sumiflow,1,15,0,3,3,0
mission,2,19,1,3,1.5,0
adam2312,1,4,0,3,3,0
bliv,1,5,0,3,3,0
dcr4president,2,16,11,3,1.5,0
amphetamine,8,16,3,3,0.38,0
stakeynet,5,21,0,3,0.6,0
hashfunction8,1,0,1,3,3,1
francio,3,0,0,3,1,1
hubertin,1,31,0,3,3,0
esperantomato,1,8,1,3,3,0
@governthis,1,0,0,3,3,0
peterparker503,2,0,0,3,1.5,0
rzs,1,6,0,2,2,0
santasnotreal,1,56,1,2,2,0
jango,6,0,0,2,0.33,0
scarmani,1,5,0,2,2,0
wannabe,1,4,0,2,2,0
bcashgr,15,0,0,2,0.13,1
clwys,1,0,0,1,1,0
thu,1,1,0,1,1,0
bigfrizzy,3,16,2,1,0.33,0
aronb,1,5,1,1,1,0
rramires,2,3,0,1,0.5,0
sammysunshine,1,4,1,1,1,0
ggeorgiev,1,0,0,1,1,0
leakybean,0,123,9,0,NA,0
vvesi,0,12,0,0,NA,0
test,1,1,1,0,0,0
kandiru,0,15,0,0,NA,0
mwaveone,0,2,0,0,NA,0
vgcr,0,2,0,0,NA,0
joesri,0,11,2,0,NA,0
sl1200mk5,0,43,0,0,NA,0
jpm,0,10,1,0,NA,0
issedjur,0,19,4,0,NA,0
jkramergsr,0,3,0,0,NA,0
scooter_d,0,12,8,0,NA,0
coinman,0,7,1,0,NA,0
al-maisan,0,1,0,0,NA,0
pablito,5,0,0,0,0,1
sndurkin,0,0,1,0,NA,0
oxf,0,4,0,0,NA,0
politeia_user,0,30,2,0,NA,0
3lian,0,1,0,0,NA,0
pedroabreu,0,2,0,0,NA,0
orbital,0,3,0,0,NA,0
ardberg,0,1,1,0,NA,0
rstaudt2,0,6,0,0,NA,0
mvz1keon7zwkcob,0,2,0,0,NA,0
jiecut,0,3,1,0,NA,0
life,1,0,0,0,0,0
vanjan,0,1,0,0,NA,0
evan,0,1,1,0,NA,0
dominicting,2,0,0,0,0,0
jzsantoro,0,1,0,0,NA,0
lhb,0,5,0,0,NA,0
nahc,1,2,1,0,0,0
timhebel,0,1,0,0,NA,0
gaurav_blocknext,0,1,1,0,NA,0
carlosccp,0,1,1,0,NA,0
knaq,0,2,0,0,NA,0
lustrousgorilla,1,0,0,0,0,0
jsterling8,4,7,1,-1,-0.25,0
hamforashshem,1,0,0,-1,-1,0
sikas,3,19,1,-2,-0.67,0
hopeful_for_tomorrow,2,4,7,-2,-1,0
tututen,1,2,0,-5,-5,0
burst,6,12,4,-5,-0.83,1
limited,21,0,0,-5,-0.24,1
alexis,29,34,21,-48,-1.66,0
